feature,when,show,tool types,flutes,brand,holder,collet,notes
ThroughHole,,depth below top; feature depth; hole diameter; L/D,drill; flat end mill; bull nose end mill; ball end mill,,,,,
BlindHole,flat bottom,depth below top; feature depth; largest tool diameter; L/D; tip angle,flat end mill; bull nose end mill; drill,by material,,,,A 180° cone is a flat bottom: milled rather than drilled
BlindHole,filleted,depth below top; feature depth; largest tool diameter; L/D; tip angle; floor fillet radius,drill; bull nose end mill; flat end mill,by material,,,,
BlindHole,,depth below top; feature depth; hole diameter; L/D; tip angle,drill; flat end mill; bull nose end mill; ball end mill,,,,,Any other tip angle is a drill point
ThroughPocket,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill; ball end mill,by material,,,,
Pocket,filleted,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,bull nose end mill; flat end mill; ball end mill,by material,,,,
Pocket,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill,by material,,,,
OpenPocket,filleted,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,bull nose end mill; flat end mill; ball end mill,by material,,,,
OpenPocket,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill,by material,,,,
Profile,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill,by material,,,,
Boss,filleted,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,bull nose end mill; flat end mill; ball end mill,by material,,,,
Boss,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill,by material,,,,
Face,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill; ball end mill; face mill,by material,,,,
Sink,,chamfer angle; depth below top; feature depth; largest tool diameter; smallest tool diameter; L/D,chamfer mill; counter sink; spot drill; ball end mill,,,,,Largest and smallest diameters are the cone's outer and pilot circles
Chamfer,,chamfer angle; depth below top; feature depth; largest tool diameter; smallest tool diameter; L/D,chamfer mill; ball end mill; bull nose end mill; flat end mill,,,,,
Fillet,,depth below top; feature depth; largest tool diameter; L/D,ball end mill; bull nose end mill; flat end mill,by material,,,,
ContourSurface,,depth below top; feature depth; largest tool diameter; L/D; stepdown,ball end mill; bull nose end mill; flat end mill,by material,,,,
FilletedPocket,,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,bull nose end mill; flat end mill; ball end mill,by material,,,,
Thread,,hole diameter; feature depth; depth below top; thread,tap right hand; drill,,,,,
FilletedOpenPocket,,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,bull nose end mill; flat end mill; ball end mill,by material,,,,
FilletedBlindHole,,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,drill; bull nose end mill; flat end mill; ball end mill,by material,,,,
Wall,,depth below top; feature depth; largest tool diameter; L/D,flat end mill; bull nose end mill,by material,,,,
SlantedFace,,depth below top; feature depth; largest tool diameter; L/D,ball end mill; bull nose end mill; flat end mill; tapered mill,by material,,,,
InnerFillet,,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,ball end mill; bull nose end mill; flat end mill,by material,,,,
OuterFillet,,depth below top; feature depth; largest tool diameter; L/D,radius mill; ball end mill; bull nose end mill; flat end mill,by material,,,,A radius on an outside edge is a corner-rounding cutter's form
SyntheticHole,,depth below top; feature depth; hole diameter; L/D,flat end mill; bull nose end mill; ball end mill,,,,,
FilletedBoss,,depth below top; feature depth; largest tool diameter; L/D; floor fillet radius,bull nose end mill; flat end mill; ball end mill,by material,,,,
UndercutTslot,,entry width; undercut depth; depth below top; feature depth; largest tool diameter,slot mill,by material,,,,Entered sideways: the opening bounds the cutter
UndercutDovetail,,taper angle; depth below top; feature depth; largest tool diameter,dovetail mill,by material,,,,
UndercutFilletedTslot,,entry width; undercut depth; depth below top; feature depth; largest tool diameter; floor fillet radius,slot mill,by material,,,,
BackSink,,chamfer angle; depth below top; feature depth; largest tool diameter; smallest tool diameter,chamfer mill,,,,,Cut from the far side; a back-chamfer tool when the library has one
BackChamfer,,chamfer angle; depth below top; feature depth; largest tool diameter; smallest tool diameter,chamfer mill,,,,,
UndercutWall,,depth below top; feature depth; largest tool diameter; L/D,lollipop mill; slot mill,by material,,,,
USlot,,depth below top; feature depth; largest tool diameter; L/D,ball end mill; bull nose end mill,by material,,,,
UndercutFilletedDovetail,,taper angle; depth below top; feature depth; largest tool diameter; floor fillet radius,dovetail mill,by material,,,,
TaperedThroughHole,,depth below top; feature depth; hole diameter; L/D,tapered mill; drill,,,,,
ThreadedBlindHole,,hole diameter; feature depth; depth below top; thread; tip angle,tap right hand; drill,,,,,The drill is the pre-drill to the minor diameter
ThreadedThroughHole,,hole diameter; feature depth; depth below top; thread,tap right hand; drill,,,,,
