feature,when,tool types,for,rule,level,note
*,,not drill,,diameter <= largest tool diameter,must,The widest cutter of any kind the feature admits — the tightest corner (cd min) and for a hole the bore itself: past it the tool cannot finish the feature — terminal finishing rules for everything
*,,drill,,diameter <= largest tool diameter + drill oversize,must,A drill is allowed past the bore by the oversize knob: this row is the one exception to the cap above and is why raising "max drill deviation" widens the band
*,,*,,flute length >= feature depth,must,The flutes must cover the cut or the shank rubs
Through*,,*,,flute length past the corner >= feature depth + through overcut,must,A through cut runs past the bottom by the overcut — and it is the tool's corner that has to clear it, so the flutes are measured below the corner (Justin Mimbs' reach-curve note)
*,filleted,flat end mill,,form is not flat end mill,must,A flat end cannot finish a filleted floor — terminal finishing only
*,filleted,bull nose end mill,,corner radius <= floor fillet radius,must,A bigger nose cannot sit in the fillet
*,filleted,*,,form in order bull nose end mill; ball end mill,rank,A filleted floor wants a bull nose; a ball is usable and ranked last
*,filleted,*,,corner radius closest to floor fillet radius,rank,Exact match first then the least under: the rule for filleted pockets
*Pocket,not filleted,bull nose end mill,,corner radius <= finishing radius limit,should,A bull nose standing in for a flat end leaves a radius on a floor the model draws sharp: the engine's bullnose substitution limit
*Boss,not filleted,bull nose end mill,,corner radius <= finishing radius limit,should,Same as a pocket floor
BlindHole,not filleted,bull nose end mill,,corner radius <= finishing radius limit,should,Same as a pocket floor; a wall or profile is cut by the side and its nose radius is free
Wall,no floor,*,,flute length past the corner >= feature depth + through overcut,must,A wall with nothing under it is cut clean through: the tool runs past the bottom and it is its corner that clears — the same rule as a through hole (Justin Mimbs' reach-curve note)
Profile,no floor,*,,flute length past the corner >= feature depth + through overcut,must,Same as a wall
*Hole,,drill,,diameter <= hole diameter + drill oversize,must,The API's largest drill diameter is this with the engine's 0.001 in
*Hole,,drill,,diameter >= hole diameter - drill undersize,must,A smaller drill is a pilot not the hole
*Hole,,*end mill,,diameter <= largest end mill diameter,must,10/11 of the hole: room to helix — the drill takes the whole bore, so this limit is the end mill's alone
BlindHole,pointed bottom,drill,,tip angle <= tip angle + drill angle tolerance shallower,should,A 140° drill in a 118° hole leaves a shallower cone
BlindHole,pointed bottom,drill,,tip angle >= tip angle - drill angle tolerance sharper,should,A sharper drill leaves a step at the bottom
BlindHole,flat bottom,drill,,tip angle = 180,must,A counterbore stays flat: no pointed drill ever
BlindHole,pointed bottom,drill,,tip angle closest to tip angle,rank,
BlindHole,pointed bottom and hole diameter <= 25.4,*,,form is drill,prefer,A pointed blind hole up to an inch is drilled
ThroughHole,hole diameter <= 25.4,*,,form is drill,prefer,A through hole up to an inch is drilled — shop rule; a flat-bottomed hole has boring rules instead
Chamfer,,chamfer mill,,tip angle = chamfer included angle + chamfer angle tolerance,must,The tool's point angle is the whole cone: twice the bevel's angle from the axis; 0.15° in the engine
Chamfer,,chamfer mill,,flute length >= slant length,must,The cutting edge covers the bevel
Sink,,chamfer mill,,tip angle = chamfer included angle + chamfer angle tolerance,must,
UndercutTslot,,slot mill,,diameter <= entry width,must,It goes in through the opening
UndercutFilletedTslot,,slot mill,,diameter <= entry width,must,
UndercutDovetail,,dovetail mill,,tip angle = taper angle + chamfer angle tolerance,must,
UndercutFilletedDovetail,,dovetail mill,,tip angle = taper angle + chamfer angle tolerance,must,
Thread*,,thread mill,,diameter <= hole diameter - thread mill margin,must,98 % of the minor diameter
*,,*,,furthest below holder >= depth below top,must,"What stands out of the holder has to reach the bottom of the feature from the top of the part. Measured against the furthest the tool could ever stand out — its overall length less whichever holds it back first, the shank the shop keeps clamped or the share that stays in the holder — so a tool that cannot reach even pulled all the way out is not eligible. Length below holder is where the tool is set, which is shorter, and refusing on it would drop tools a shop reaches with by pulling them out"
*,ball only,*,,form is ball end mill,must,The kernel says only a ball finishes this surface without a cusp
ContourSurface,,*,,form is not flat end mill,must,A flat end cannot finish a 3D surface: the engine's invalid finishing type — terminal finishing rules for everything
SlantedFace,,*,,form is not flat end mill,must,Same as a contour surface
*Fillet,,*,,form is not flat end mill,must,Same as a contour surface
ContourSurface,,*,,form in order bull nose end mill; ball end mill; flat end mill,rank,The engine's order for 3D: a ball has zero speed at the tip
SlantedFace,,*,,form in order bull nose end mill; ball end mill; flat end mill,rank,
*Fillet,,*,,form in order bull nose end mill; ball end mill; flat end mill,rank,
Chamfer,,*,,form in order chamfer mill; ball end mill; radius mill; flat end mill,rank,The engine's order for a chamfer
Sink,,*,,form in order chamfer mill; counter sink; spot drill; ball end mill,rank,
Face,,*,,form is not ball end mill,prefer,The engine does not face with a ball
Wall,,*,,form in order flat end mill; bull nose end mill,rank,The engine's order for a wall
Profile,,*,,form in order flat end mill; bull nose end mill,rank,
*Pocket,not filleted,*,,form in order flat end mill; bull nose end mill; ball end mill,rank,A sharp floor wants a flat end
*Boss,not filleted,*,,form in order flat end mill; bull nose end mill; ball end mill,rank,
